PM2.5,O3,PM10,SO2,NO2,CO
20.46,23.42,8.55,4.83,0.26,55.55
24.28,28.29,7.41,4.34,0.29,64.68
28.17,34.2,8.36,5.3,0.34,67.28
30.77,35.97,8.63,6.77,0.37,48.9
27.57,32.22,7.61,6.41,0.35,51.8
33.45,37.77,7.92,5.58,0.37,57.63
35.02,39.56,7.53,4.46,0.38,64.6
39.92,44.35,7.85,4.96,0.4,61.87
46.51,52.38,9.55,4.75,0.47,65.82
58.33,67.12,12.03,4.87,0.55,67.56
55.81,61.23,10.2,5.23,0.5,65.71
41.06,44.12,9.28,4.57,0.42,66.15
40.65,45.28,7.49,3.44,0.42,73.58
45.98,50.96,7.78,3.47,0.45,74.83
19.75,24.42,2.95,2.3,0.28,79.88
15.37,20.42,1.96,2.48,0.26,73.72
27.41,32.67,7.65,3.24,0.34,81.62
68.97,80.04,15.16,5.15,0.66,67.06
34.14,40.49,7.02,2.97,0.39,69.73
9.44,15.09,1.63,2.49,0.22,72.24
8.36,12.77,1.38,2.84,0.2,71.63
8.94,13.27,1.95,2.98,0.21,69.69
30.3,40.05,7.99,4.75,0.4,68.73
44.78,56.59,5.01,3.92,0.49,67.29
48.36,56.11,9.26,3.34,0.48,79.36
56.82,66.99,7.21,3.03,0.52,75.79
48.92,57.52,6.67,3.7,0.5,75.96
40.87,49.06,6.96,2.44,0.44,78.05
18.77,25.46,2.62,2.02,0.28,76.2
8.18,13.98,1.4,1.8,0.2,77.41
9.43,14.01,1.53,1.69,0.19,80.94
7.27,11.11,1.35,2.27,0.18,75.26
8.52,12.21,1.66,2.61,0.19,71.22
12.76,18.8,2.76,2.65,0.21,66.88
14.56,21.02,1.76,3.04,0.23,55.52
8.75,12.42,1.5,2.49,0.17,54.57
8.31,11.0,1.64,2.89,0.15,54.66
5.48,7.73,1.46,2.28,0.13,58.49
13.54,18.79,2.72,3.87,0.21,59.6
28.23,39.44,7.56,7.04,0.39,50.98
19.39,25.36,4.1,2.57,0.27,74.56
19.04,23.86,2.96,2.27,0.25,80.31
17.36,23.87,2.71,2.47,0.25,80.29
32.13,40.71,7.75,3.17,0.37,79.88
26.5,34.3,3.39,2.72,0.31,73.14
17.12,23.2,2.06,2.75,0.24,68.17
27.04,34.29,6.47,3.14,0.3,73.88
21.12,29.62,1.87,2.22,0.27,73.73
17.01,22.98,1.79,2.67,0.23,68.43
11.74,15.08,2.01,2.79,0.18,65.37
24.63,33.6,6.3,3.31,0.31,71.19
14.65,24.06,2.69,2.09,0.24,77.67
24.07,29.73,6.15,2.72,0.3,85.59
33.67,39.45,8.74,3.27,0.37,80.02
19.78,28.77,2.43,1.83,0.27,80.22
15.46,26.39,1.29,1.69,0.23,74.17
11.14,18.41,1.31,2.26,0.19,66.2
9.78,13.62,1.75,2.62,0.17,60.45
9.28,11.96,1.72,2.69,0.15,55.77
8.24,11.15,1.63,2.17,0.14,58.17
15.99,21.26,4.08,5.05,0.22,54.05
37.33,44.67,11.23,6.88,0.42,56.9
33.97,38.2,10.12,3.41,0.36,81.16
24.3,28.73,5.77,2.72,0.29,84.78
13.11,18.29,1.97,2.08,0.21,80.91
14.34,18.23,1.93,2.35,0.2,78.72
